sys_id;item;criterio;recomendacao_1a;justificativa_1a;volume_12m
a3acf64e1b439550d1abda4ce54bcb66;My Benefits (FAQ - Hispanic - ARG);item_atalho;substituir_por_link_kb;"Nenhum registro histórico e sem variáveis; é uma página de FAQ de benefícios da Argentina publicada como record producer. Conteúdo informativo cabe melhor num artigo de KB, que o AI Search já entrega na conversa.";0
f03c49981b567010d1abda4ce54bcbc4;Consultar / Alterar Documentos;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday, sem perguntas e sem volume em 12 meses. Duplica 'Consultar ou alterar documentos pessoais' (7b9dd65a) e 'Consultar ou alterar dados pessoais' (4481229e). Melhor atendido por um artigo de KB ou tópico da VA com link para o Workday.";0
a70ab8c51b615190a530426fe54bcbe5;Somos Avon;item_atalho;substituir_por_link_kb;"Sem nenhum registro. Item sem variáveis cujo texto fala em baixar comprovante de pagamento da Avon Argentina, algo que é consulta/autoatendimento em sistema externo, não caso de RH.";0
a47fd2e61b860510a530426fe54bcb46;Dados Pessoais;item_atalho;substituir_por_link_kb;"Zero pedidos; apenas informa que alteração de dados pessoais é feita no Workday. Melhor como artigo de KB/tópico do VA com o link, para responder sem abrir chamado.";0
9a8e7d4d1b295190a530426fe54bcb85;MAP;item_atalho;substituir_por_link_kb;"Sem nenhum registro (0 no total e nos últimos 12 meses). O item não tem variáveis e o nome ""MAP"" não diz nada ao usuário; a short description fala em férias da Avon Chile, o que sugere um atalho para sistema externo publicado como record producer.";0
807f9a661b860510a530426fe54bcb4f;Gestão de Pessoas e Estrutura;item_atalho;substituir_por_link_kb;"Nenhum registro histórico, sem variáveis nem script; parece um agrupador de temas (movimentação, transferência, mérito etc.) publicado como record producer. Concorre na busca por intenção com itens reais de movimentação; avaliar desativação ou troca por categoria/página de KB.";0
56e683221be95990a530426fe54bcba6;DIGICARD;item_atalho;substituir_por_link_kb;"Zero registros. Record producer sem variáveis, com nome de sistema (DIGICARD) que o colaborador não usa, apontando para o reporte de licenças médicas e acidentes da Avon Argentina. Funciona como link externo e não como pedido.";0
8c25974c1b1c291ca530426fe54bcbff;Informar orçamentos de viagens e suplementação orçamentaria para Centro de Custo ou PEP;sem_uso;avaliar_desativacao;"Nenhum chamado nos últimos 12 meses (516 no histórico total), o que indica que o processo migrou para outro canal ou deixou de existir. O item tem 31 perguntas, 5 anexos e ramos cruzados (orçamento x suplementação, centro de custo x PEP, um ou vários), então não compensa convertê-lo sem confirmar que ainda é usado.";0
d93159141b688910a530426fe54bcb56;Informar direito a solicitar novo veículo (chamado informativo para fornecedor);item_atalho;substituir_por_link_kb;"Nenhum registro em 12 meses (nem no total histórico), sem variáveis e sem producer script. Parece um item informativo para terceiros que nunca foi usado; avaliar desativação antes de qualquer conversão.";0
4481229e1bd8c110a530426fe54bcb96;Consultar ou alterar dados pessoais;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday, sem perguntas e sem volume em 12 meses. Sobrepõe 'Consultar / Alterar Documentos' (f03c4998), 'Consultar ou alterar documentos pessoais' (7b9dd65a), 'Contatos de emergência' (64cb4d58) e 'Endereço, telefone e email' (7cdb0198).";0
515c89981b567010d1abda4ce54bcb67;Consultar ou alterar dados de carreira;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday (escolaridade, idiomas, experiências – OurTalents), sem perguntas e sem volume em 12 meses. Conteúdo é instrução, não pedido: melhor como artigo de KB com link.";0
879c8d981b567010d1abda4ce54bcbbe;Abrir uma requisição de vaga;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday (abertura de vaga pelo gestor), sem perguntas e sem volume em 12 meses. Melhor como KB/tópico da VA com link.";0
ef4bc5581b567010d1abda4ce54bcbc4;Solicitar aumento salarial;item_atalho;substituir_por_link_kb;"Sem nenhum registro. O item só redireciona para o Workday e não tem variáveis; manter como record producer faz a conversa abrir caso de RH vazio para um pedido sensível.";0
7cdb01981b567010d1abda4ce54bcb73;"Consultar/ Alterar Endereço, telefone e email";item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday, sem perguntas e sem volume em 12 meses. Descrição idêntica à de outros itens de dados pessoais do lote.";0
73253b071bb46950d1abda4ce54bcbe1;Solicitação de adiantamento de comissão - líderes;sem_uso;avaliar_desativacao;"Zero chamados nos últimos 12 meses e apenas 2 no histórico. Não vale converter; avaliar com a Célula de Remuneração e Pagamentos se o processo ainda existe ou se é atendido por ""Solicitação de pagamentos Força de Vendas"".";0
ad8d410d1ba42910d1abda4ce54bcb20;Solicitação de pagamento de fornecedor;sem_uso;avaliar_desativacao;"Nenhum chamado desde a criação (total 0). O item é restrito à célula de Remuneração e Pagamentos e tem 22 perguntas, busca de fornecedor por GlideAjax e anexo obrigatório. Não vale converter; confirmar com o dono se o processo ainda existe ou migrou para outro canal (ex.: Ariba) antes de desativar.";0
7b9dd65a1bd8c110a530426fe54bcb16;Consultar ou alterar documentos pessoais;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o perfil no Workday, sem perguntas, sem descrição e sem volume em 12 meses. Duplicata direta de 'Consultar / Alterar Documentos' (f03c4998).";0
35136ade1bd8c110a530426fe54bcbeb;Inclusão ou alteração de dados dependentes;sem_uso;avaliar_desativacao;"Nenhum pedido em 12 meses (1 no total) e sem user criteria de disponibilidade; só redireciona ao Workday. Duplica 'Incluir dependente/familiar'.";0
709c36631b140910a530426fe54bcbe0;Consultar Informe de Rendimento vigente;item_atalho;substituir_por_link_kb;"Zero pedidos no histórico e sem user criteria de disponibilidade; só redireciona para a ADP (links por empresa). Melhor como artigo de KB ou tópico do VA.";0
14cbf6231b140910a530426fe54bcbc8;Consultar Demonstrativo de Pagamento;item_atalho;substituir_por_link_kb;"Zero pedidos no histórico: é um item-vitrine que só redireciona para a ADP. Na conversa, um redirecionamento é melhor atendido por artigo de KB ou tópico do VA com o link, não por record producer.";0
1674195e1bbdd910d1abda4ce54bcb22;We are Avon;item_atalho;substituir_por_link_kb;"Sem nenhum registro. Item sem variáveis, nome de marca (""We are Avon"") que não expressa intenção e short description em inglês sobre férias da Avon Argentina.";0
46db990d1b255190a530426fe54bcb10;Licença de aniversário dos filhos(CHL);item_atalho;substituir_por_link_kb;"Zero pedidos, sem short description, sem descrição e sem variáveis (Chile e Colômbia). Não há como o LLM encontrá-lo nem o que conversar; desativar ou, se o benefício existir, reconstruir com descrição e perguntas.";0
ec17ad011ba55190a530426fe54bcbf2;Incluir dependente/familiar;item_atalho;substituir_por_link_kb;"Zero pedidos; apenas redireciona para o Workday (países hispânicos). Sobrepõe o irmão 'Inclusão ou alteração de dados dependentes'. Consolidar em um único artigo de KB/tópico do VA.";0
3d2e068f1b398910a530426fe54bcb1d;Programação / Consulta Férias – ADP;item_atalho;substituir_por_link_kb;"Zero registros. Record producer sem variáveis que só serve de atalho para a plataforma ADP; papel de artigo de KB ou link no portal, não de pedido.";0
f60483ea1ba95990a530426fe54bcb99;Site WEB Mutual;item_atalho;substituir_por_link_kb;"Sem nenhum registro. Item sem variáveis; o nome cita o site da Mutual e a short description fala em informar licenças da Natura Chile, mensagem incoerente com o nome.";0
ed9d69b187708b10ec360e530cbb35fe;Solicitar Estudos de Aplicações/Regras de Convenção Coletiva de Trabalho (CCTs);sem_uso;avaliar_desativacao;Apenas 1 pedido em 12 meses e sobreposição direta com irmãos: a short description cita 'análises de pagamentos sindicais' (item próprio) e 'estudos de regras' cabem no item de dúvidas de relações trabalhistas. Sugere-se desativar e incluir 'Estudo de regras de CCT' como tipo de solicitação no item ce192c69 (Tirar dúvidas sobre relações trabalhistas e sindicais).;1
4481ae831bb98910a530426fe54bcbaa;Nossa Estrutura;item_atalho;substituir_por_link_kb;"Sem nenhum registro. Não tem variáveis nem categoria; a short description é só um passo a passo para ver o organograma no sistema, conteúdo de artigo de KB.";0
34c6524f1b3d8510d1abda4ce54bcbb0;Ponto eletrônico / Banco de horas – ADP;item_atalho;substituir_por_link_kb;"Item de redirecionamento para a plataforma ADP (ajuste de ponto, banco de horas, justificativa de ausência), sem perguntas e sem volume em 12 meses. Serve melhor como KB/tópico da VA com link para o ADP.";0
a8404e051b695190a530426fe54bcb8b;planejador de férias;item_atalho;substituir_por_link_kb;"Sem nenhum registro. Item sem variáveis, description ""."" e short description de férias da Natura Peru: parece atalho para sistema externo, não pedido de RH.";0
64cb4d581b567010d1abda4ce54bcb1a;Consultar/ Alterar Contatos de emergência;item_atalho;substituir_por_link_kb;"Item de redirecionamento para o Workday, sem perguntas e sem volume em 12 meses. Short description e descrição idênticas às de f03c4998 e 7cdb0198, o que confunde o LLM na escolha.";0
5b674a3b87e55210ec360e530cbb354c;Solicitar desligamento de um colaborador da minha equipe;item_atalho;substituir_por_link_kb;"Zero registros. É um record producer sem variáveis que só explica como pedir desligamento ('saiba como'), o que duplica a intenção de 'Desligamento' (7392f8da) e confunde o LLM na escolha do item.";0
